x,y,name,region,dp
67957.37409999967,401703.1697999984,Oosterschelde,Os,759.5
67907.68320000172,401697.61879999936,Oosterschelde,Os,760.0
67857.98809999973,401692.1068000011,Oosterschelde,Os,760.5
67808.32169999927,401686.3409000002,Oosterschelde,Os,761.0
67758.62860000134,401680.810800001,Oosterschelde,Os,761.5
67708.92430000007,401675.38280000165,Oosterschelde,Os,762.0
67659.24509999901,401669.7307999991,Oosterschelde,Os,762.5
67609.42199999839,401665.65190000087,Oosterschelde,Os,763.0
67559.51559999958,401662.93200000003,Oosterschelde,Os,763.5
67509.5912999995,401665.48209999874,Oosterschelde,Os,764.0
67459.7846999988,401669.69619999826,Oosterschelde,Os,764.5
67410.35289999843,401677.0962000005,Oosterschelde,Os,765.0
67361.50869999826,401687.7533,Oosterschelde,Os,765.5
67312.72989999875,401698.73629999906,Oosterschelde,Os,766.0
67264.06370000169,401710.1992999986,Oosterschelde,Os,766.5
67215.90139999986,401723.58850000054,Oosterschelde,Os,767.0
67168.31940000132,401738.9415999986,Oosterschelde,Os,767.5
67121.43329999968,401756.2597000003,Oosterschelde,Os,768.0
67076.58430000022,401778.2659999989,Oosterschelde,Os,768.5
67034.58210000023,401805.27870000154,Oosterschelde,Os,769.0
66997.35590000078,401838.56500000134,Oosterschelde,Os,769.5
66961.24799999967,401873.0749000013,Oosterschelde,Os,770.0
66925.90300000086,401908.4210000001,Oosterschelde,Os,770.5
66890.91000000015,401944.12110000104,Oosterschelde,Os,771.0
66857.29630000144,401981.12779999897,Oosterschelde,Os,771.5
66824.64589999989,402018.98739999905,Oosterschelde,Os,772.0
66795.59820000082,402059.65520000085,Oosterschelde,Os,772.5
66769.50120000169,402102.2993000001,Oosterschelde,Os,773.0
66743.8022999987,402145.189100001,Oosterschelde,Os,773.5
66718.31129999831,402188.20320000127,Oosterschelde,Os,774.0
66692.3300999999,402230.9204999991,Oosterschelde,Os,774.5
66666.72340000048,402273.8570000008,Oosterschelde,Os,775.0
66640.7452000007,402316.5764000006,Oosterschelde,Os,775.5
66612.76929999888,402357.96499999985,Oosterschelde,Os,776.0
66569.44920000061,402380.14939999953,Oosterschelde,Os,776.5
66520.02210000157,402378.4444999993,Oosterschelde,Os,777.0
66479.33900000155,402350.5287999995,Oosterschelde,Os,777.5
66447.36300000176,402312.10280000046,Oosterschelde,Os,778.0
66413.07250000164,402276.11989999935,Oosterschelde,Os,778.5
66365.4488000013,402279.07880000025,Oosterschelde,Os,779.0
66327.2939000018,402311.3229999989,Oosterschelde,Os,779.5
66291.21489999816,402345.92500000075,Oosterschelde,Os,780.0
66262.71110000089,402386.72850000113,Oosterschelde,Os,780.5
66230.09750000015,402421.9508000016,Oosterschelde,Os,781.0
66203.94729999825,402464.564199999,Oosterschelde,Os,781.5
66178.21029999852,402507.4310999997,Oosterschelde,Os,782.0
66152.42309999838,402550.2674999982,Oosterschelde,Os,782.5
66126.42119999975,402592.96930000186,Oosterschelde,Os,783.0
66100.5102000013,402635.7302000001,Oosterschelde,Os,783.5
66106.43719999865,402683.05530000106,Oosterschelde,Os,784.0
66120.32759999856,402731.0566999987,Oosterschelde,Os,784.5
66122.29580000043,402779.8588999994,Oosterschelde,Os,785.0
66117.14889999852,402829.5931000002,Oosterschelde,Os,785.5
66111.69990000129,402879.29520000145,Oosterschelde,Os,786.0
66106.34580000117,402929.0058000013,Oosterschelde,Os,786.5
66100.5036999993,402978.6425999999,Oosterschelde,Os,787.0
66091.73759999871,403027.8502999991,Oosterschelde,Os,787.5
66058.0626000017,403061.2767999992,Oosterschelde,Os,788.0
66015.82580000162,403088.0216999985,Oosterschelde,Os,788.5
65972.60159999877,403112.9554999992,Oosterschelde,Os,789.0
65926.24529999867,403131.03449999914,Oosterschelde,Os,789.5
65884.9208999984,403158.35130000114,Oosterschelde,Os,790.0
65837.01700000092,403172.66330000013,Oosterschelde,Os,790.5
65789.09329999983,403186.9195000008,Oosterschelde,Os,791.0
65741.12269999832,403201.0124000013,Oosterschelde,Os,791.5
65693.24210000038,403215.39660000056,Oosterschelde,Os,792.0
65645.10029999912,403228.8574000001,Oosterschelde,Os,792.5
65596.28489999846,403239.66519999877,Oosterschelde,Os,793.0
65547.46049999818,403250.43239999935,Oosterschelde,Os,793.5
65498.6950000003,403261.4651999995,Oosterschelde,Os,794.0
65449.90740000084,403272.3953999989,Oosterschelde,Os,794.5
65401.10000000149,403283.22619999945,Oosterschelde,Os,795.0
65352.39719999954,403294.51839999855,Oosterschelde,Os,795.5
65303.77739999816,403306.1834000014,Oosterschelde,Os,796.0
65255.059799999,403317.41330000013,Oosterschelde,Os,796.5
65206.20630000159,403328.04239999875,Oosterschelde,Os,797.0
65157.29300000146,403338.40619999915,Oosterschelde,Os,797.5
65108.246599998325,403348.11030000076,Oosterschelde,Os,798.0
65059.286200001836,403358.2393999994,Oosterschelde,Os,798.5
65010.49159999937,403369.15129999816,Oosterschelde,Os,799.0
64961.60579999909,403379.6392999999,Oosterschelde,Os,799.5
64912.726500000805,403390.1462999992,Oosterschelde,Os,800.0
64863.88589999825,403400.8341999985,Oosterschelde,Os,800.5
64814.683899998665,403408.73959999904,Oosterschelde,Os,801.0
64781.1678000018,403372.07550000027,Oosterschelde,Os,801.5
64744.24980000034,403338.9043000005,Oosterschelde,Os,802.0
64696.55050000176,403325.1986999996,Oosterschelde,Os,802.5
64647.85080000013,403333.7895000018,Oosterschelde,Os,803.0
