HMTAFSTNL,x,y,dp
81600.0,63402.914400000125,403351.3533000015,816.0
81650.0,63365.73919999972,403318.882100001,816.5
81700.0,63334.03099999949,403280.22580000013,817.0
81750.0,63301.89189999923,403241.9237000011,817.5
81800.0,63269.83999999985,403203.5498000011,818.0
81850.0,63238.55620000139,403164.5469000004,818.5
81900.0,63206.98919999972,403125.7820999995,819.0
81950.0,63168.148499999195,403094.88219999894,819.5
82000.0,63120.57229999825,403081.6048000008,820.0
82050.0,63072.083099998534,403091.1224000007,820.5
82100.0,63029.91860000044,403117.7430000007,821.0
82150.0,62989.82660000026,403147.618999999,821.5
82200.0,62945.94579999894,403154.81650000066,822.0
82250.0,62900.14919999987,403134.75019999966,822.5
82300.0,62854.422699999064,403114.52540000156,823.0
82350.0,62806.800799999386,403101.91699999943,823.5
82400.0,62760.337900001556,403086.9193000011,824.0
82450.0,62717.07660000026,403061.8522000015,824.5
82500.0,62669.14939999953,403053.6840999983,825.0
82550.0,62620.821600001305,403051.4847000018,825.5
82600.0,62586.53299999982,403015.1020000018,826.0
82650.0,62552.0289000012,402978.9158000015,826.5
82700.0,62517.48800000176,402942.7648999989,827.0
82750.0,62483.401099998504,402906.1860000007,827.5
82800.0,62448.67300000042,402870.21599999815,828.0
82850.0,62414.071400001645,402834.1253999993,828.5
82900.0,62379.80389999971,402797.7148000002,829.0
82950.0,62345.24060000107,402761.5855999999,829.5
83000.0,62310.64400000125,402725.48790000007,830.0
83050.0,62276.47679999843,402688.9847000018,830.5
83100.0,62241.9776000008,402652.79349999875,831.0
83150.0,62207.293900001794,402616.77980000153,831.5
83200.0,62172.513099998236,402580.85909999907,832.0
83250.0,62138.47890000045,402544.2388000004,832.5
83300.0,62103.034299999475,402509.03649999946,833.0
83350.0,62055.702799998224,402510.81159999967,833.5
83400.0,62012.3396999985,402535.67069999874,834.0
83450.0,61968.42379999906,402559.569600001,834.5
83500.0,61925.50510000065,402548.3872000016,835.0
83550.0,61888.139600001276,402515.17280000076,835.5
83600.0,61843.47599999979,402498.0949999988,836.0
83650.0,61793.628800000995,402501.91110000014,836.5
83700.0,61743.70179999992,402504.3729999997,837.0
83750.0,61693.73270000145,402506.06610000134,837.5
83800.0,61644.39759999886,402512.9574000016,838.0
83850.0,61599.376499999315,402534.2857999988,838.5
83900.0,61565.79340000078,402511.40890000015,839.0
83950.0,61542.53049999848,402467.1510999985,839.5
84000.0,61518.2014000006,402423.50609999895,840.0
84050.0,61479.78559999913,402392.2901000008,840.5
84100.0,61437.936599999666,402364.9470999986,841.0
84150.0,61396.44669999927,402337.04410000145,841.5
84200.0,61354.72810000181,402309.48640000075,842.0
84250.0,61313.06289999932,402281.8482999988,842.5
84300.0,61271.38830000162,402254.2237999998,843.0
84350.0,61230.068900000304,402226.0881999992,843.5
84400.0,61188.69669999927,402198.01410000026,844.0
84450.0,61147.22960000113,402170.08210000023,844.5
84500.0,61105.16490000114,402143.0562000014,845.0
84550.0,61063.843400001526,402114.9048999995,845.5
84600.0,61022.05860000104,402087.45010000095,846.0
84650.0,60981.00769999996,402058.9140999988,846.5
84700.0,60942.24570000172,402027.3418999985,847.0
84750.0,60903.50860000029,401995.72879999876,847.5
84800.0,60864.38760000095,401964.5938999988,848.0
84850.0,60825.33729999885,401933.36840000004,848.5
84900.0,60785.696800000966,401902.8971000016,849.0
84950.0,60745.316899999976,401873.4631999992,849.5
85000.0,60703.81819999963,401845.5925000012,850.0
85050.0,60662.300000000745,401817.73530000076,850.5
85100.0,60620.73570000008,401789.94509999827,851.0
85150.0,60578.91429999843,401762.54289999977,851.5
85200.0,60534.72250000015,401739.64070000127,852.0
85250.0,60485.076900001615,401740.4561999999,852.5
85300.0,60441.99980000034,401764.8379999995,853.0
85350.0,60403.61710000038,401796.88069999963,853.5
85400.0,60365.09650000185,401828.75030000135,854.0
85450.0,60326.449999999255,401860.4156999998,854.5
85500.0,60280.69029999897,401854.61510000005,855.0
85550.0,60236.83960000053,401830.59219999984,855.5
85600.0,60193.21279999986,401806.16530000046,856.0
85650.0,60149.534699998796,401781.8313000016,856.5
