Gebied,dp,yMV.bui,ysloot.1d,xMV.bin,xSloot.1a,xSloot.1c,xSloot.1d,xSloot.1b,xWeg.1,xTeen.1,xBerm.1a,xBerm.1b,xKruin.1,xKruin.2,xBerm.2a,xBerm.2b,xTeen.2,xWeg.2,xSloot.2,xMVB.bui,yMV.bin,ySloot.1a,ySloot.1c,ySloot.1b,yWeg.1,yTeen.1,yBerm.1a,yBerm.1b,yKruin.1,yKruin.2,yBerm.2a,yBerm.2b,yTeen.2,yWeg.2,ySloot.2
Os,840.0,-1.632,-1.13,-203.07,-30.07,-29.05,-28.6,-27.07,-19.07,-17.841,-3.438,-3.438,-3.438,-0.885,9.65,17.401,32.737,43.93,43.93,45.93,0.143,0.143,-1.13,0.787,0.848,1.0,6.84,6.84,6.84,6.92,3.86,3.57,-0.67,-1.351,-1.351
Os,841.0,-1.572,-1.0,-148.67,-33.67,-31.14,-19.71,-16.67,-16.67,-16.393,-3.56,-3.56,-3.56,-1.083,9.071,14.934,31.571,36.57,36.57,42.33,0.688,0.688,-1.0,1.024,1.024,1.06,6.57,6.57,6.57,6.59,3.85,3.49,-0.72,-1.132,-1.132
Os,842.0,-1.632,-0.84,-145.69,-31.69,-29.4,-27.27,-24.69,-24.69,-16.391,-3.285,-3.285,-3.285,-0.975,9.031,14.952,31.53,31.53,31.53,57.31,0.688,0.688,-0.84,0.88,0.88,1.05,6.72,6.72,6.72,6.77,3.82,3.52,-0.7,-0.631,-0.631
Os,843.0,-1.625,-0.84,-144.84,-42.84,-40.61,-39.23,-36.84,-17.84,-16.61,-3.419,-3.419,-3.419,-1.237,8.524,14.679,31.23,31.23,49.16,75.16,0.644,0.644,-0.84,0.751,0.893,1.05,6.6,6.6,6.6,6.6,3.9,3.53,-0.66,-0.69,-1.658
Os,844.0,-1.642,0.22,-200.83,-174.83,-174.46,-172.45,-171.83,-23.83,-15.945,-2.781,-2.781,-2.781,-0.471,9.467,15.538,32.101,46.17,52.17,179.17,0.465,0.465,0.22,0.636,0.594,1.22,6.58,6.58,6.58,6.55,3.85,3.54,-0.68,-1.244,-1.608
Os,845.0,-1.637,-0.75,-200.88,-28.88,-27.33,-27.13,-25.88,-24.88,-16.641,-3.195,-3.195,-3.195,-1.15,9.265,14.902,31.466,43.12,43.12,50.12,0.66,0.66,-0.75,0.385,1.156,1.47,6.61,6.61,6.61,6.68,3.83,3.53,-0.69,-1.348,-1.348
Os,846.0,-1.635,-0.81,-179.55,-29.55,-27.53,-26.58,-23.55,-23.55,-16.851,-3.18,-3.18,-3.18,-0.901,9.4,15.061,31.636,55.45,67.45,94.45,0.538,0.538,-0.81,1.21,1.21,1.28,6.55,6.55,6.55,6.56,3.78,3.54,-0.67,-1.516,-1.709
Os,847.0,-1.651,-0.65,-181.52,-29.52,-27.43,-26.11,-23.52,-23.52,-17.055,-3.267,-3.267,-3.267,-0.827,9.231,14.429,30.992,31.48,51.48,100.48,0.525,0.742,-0.65,1.078,1.078,1.22,6.61,6.61,6.61,6.65,3.85,3.52,-0.69,-0.905,-1.657
Os,848.0,-1.66,-0.62,-180.54,-28.54,-26.76,-26.54,-24.54,-16.12,-16.12,-3.267,-3.267,-3.267,-0.6,9.172,14.323,30.766,47.46,137.46,204.46,0.86,0.86,-0.62,1.048,1.489,1.43,6.65,6.65,6.65,6.73,3.83,3.51,-0.64,-1.635,-1.593
Os,849.0,-1.728,-0.57,-179.94,-29.94,-27.58,-25.73,-22.94,-22.94,-16.028,-3.7,-3.7,-3.7,-0.784,7.984,14.568,31.163,52.06,52.06,165.06,0.93,1.004,-0.57,1.288,1.288,1.5,6.68,6.68,6.68,6.71,4.01,3.58,-0.67,-1.482,-1.482
